epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,2305.38,0.52411,0.40967,0.92964,0.91036,0.91018,0.94514,0.79649,0.67684,0.49216,1.02297,0.00040404,0.00013468,0.00040404,0.00013468,0.00040404,0.00013468,0.00040404,0.00013468
69,2339.15,0.50374,0.39276,0.93552,0.90798,0.91501,0.94894,0.79926,0.67962,0.47217,1.0233,0.00039216,0.00013072,0.00039216,0.00013072,0.00039216,0.00013072,0.00039216,0.00013072
70,2371.81,0.53649,0.41059,0.93568,0.91733,0.89544,0.94518,0.79855,0.67908,0.48905,1.02132,0.00038028,0.00012676,0.00038028,0.00012676,0.00038028,0.00012676,0.00038028,0.00012676
71,2405.13,0.51937,0.41268,0.94246,0.90328,0.91313,0.94451,0.79812,0.68017,0.49132,1.02107,0.0003684,0.0001228,0.0003684,0.0001228,0.0003684,0.0001228,0.0003684,0.0001228
72,2438.46,0.51489,0.39704,0.93196,0.90018,0.91086,0.94224,0.79312,0.68375,0.49346,1.022,0.00035652,0.00011884,0.00035652,0.00011884,0.00035652,0.00011884,0.00035652,0.00011884
73,2471.49,0.52227,0.40905,0.93316,0.92932,0.88133,0.94097,0.79347,0.68395,0.50486,1.0255,0.00034464,0.00011488,0.00034464,0.00011488,0.00034464,0.00011488,0.00034464,0.00011488
74,2505.03,0.52414,0.41102,0.93389,0.91551,0.89844,0.94367,0.796,0.68072,0.49765,1.02279,0.00033276,0.00011092,0.00033276,0.00011092,0.00033276,0.00011092,0.00033276,0.00011092
75,2538.6,0.50954,0.39127,0.92319,0.92253,0.89434,0.94248,0.79737,0.67914,0.49471,1.01962,0.00032088,0.00010696,0.00032088,0.00010696,0.00032088,0.00010696,0.00032088,0.00010696
76,2571.77,0.53014,0.40827,0.93553,0.92921,0.8836,0.94121,0.79578,0.67688,0.49839,1.01982,0.000309,0.000103,0.000309,0.000103,0.000309,0.000103,0.000309,0.000103
77,2605.36,0.4971,0.37929,0.92195,0.92939,0.89822,0.94415,0.7987,0.67849,0.48681,1.02267,0.00029712,9.90E-05,0.00029712,9.90E-05,0.00029712,9.90E-05,0.00029712,9.90E-05
78,2638.65,0.5003,0.39664,0.91686,0.93401,0.89854,0.94541,0.80173,0.67829,0.47664,1.02532,0.00028524,9.51E-05,0.00028524,9.51E-05,0.00028524,9.51E-05,0.00028524,9.51E-05
79,2672.06,0.51266,0.40135,0.93313,0.92234,0.90158,0.94567,0.79909,0.68353,0.48113,1.02673,0.00027336,9.11E-05,0.00027336,9.11E-05,0.00027336,9.11E-05,0.00027336,9.11E-05
80,2705.53,0.515,0.3931,0.93049,0.92167,0.89837,0.94454,0.7985,0.68324,0.48648,1.02944,0.00026148,8.72E-05,0.00026148,8.72E-05,0.00026148,8.72E-05,0.00026148,8.72E-05
81,2738.61,0.51364,0.39086,0.93219,0.9198,0.89886,0.94497,0.79847,0.676,0.48631,1.0225,0.0002496,8.32E-05,0.0002496,8.32E-05,0.0002496,8.32E-05,0.0002496,8.32E-05
82,2771.87,0.50423,0.38174,0.9242,0.91691,0.90009,0.94186,0.79388,0.67956,0.48851,1.02519,0.00023772,7.92E-05,0.00023772,7.92E-05,0.00023772,7.92E-05,0.00023772,7.92E-05
83,2805.4,0.50095,0.38503,0.92468,0.92699,0.89919,0.94677,0.79848,0.67894,0.48429,1.02202,0.00022584,7.53E-05,0.00022584,7.53E-05,0.00022584,7.53E-05,0.00022584,7.53E-05
84,2838.27,0.51175,0.38712,0.93305,0.93157,0.89168,0.94469,0.79734,0.68322,0.48979,1.02508,0.00021396,7.13E-05,0.00021396,7.13E-05,0.00021396,7.13E-05,0.00021396,7.13E-05
85,2872.01,0.52101,0.39569,0.93333,0.92071,0.90071,0.94537,0.79761,0.67967,0.4822,1.0228,0.00020208,6.74E-05,0.00020208,6.74E-05,0.00020208,6.74E-05,0.00020208,6.74E-05
